SEDE_CODICE,Vi_sono_parcheggi_per_disabili,SEDE_ACCESSIBILE_AI_DISABILI,MUSEO_CODICE,MUSEO_DENOMINAZIONE,MUSEO_TIPOLOGIA,SEDE_DENOMINAZIONE,SEDE_COMUNE,SEDE_PROVINCIA,SEDE_FRAZIONE,SEDE_CAP,SEDE_INDIRIZZO,SEDE_TELEFONO,SEDE_FAX,SEDE_MAIL,SEDE_SITO,SEDE_APERTURA_STATO,SEDE_CHIUSURA_MOTIVO,SEDE_APERTURA_NOTE,SEDE_DESCR_ORARIO_APERTURA,SEDE_ORARI_APERTURA_NOTA,MUSEO_INGRESSO,MUSEO_GIORNO_INGRESSO_GRATUITO,vi_sono_parcheggi_in_zona,ck_biblioteca,ck_aula_attivita_didattiche_ed,ck_sale_studio,ck_archivio,ck_fototeca,ck_sala_conferenze,ck_sala_proiezioni_audio_video,ST_NOTE_3_2_2,ck_biglietteria,ck_guardaroba,ck_area_per_accoglienza,ck_book_shop,ck_caffetteria_ristorante,ck_area_x_prima_infanzia,ST_NOTE_3_2_3,ck_laboratorio_fotografico,ck_laboratorio_di_restauro,ck_laboratorio_preparazione,ck_laboratorio_per_analisi,ST_NOTE_3_2_4,presenza_servizi_igienici,ck_pannelli_sk_mobili,ck_guide_brevi_in_italiano,ck_guide_brevi_in_piu_lingue,ck_catalogo_del_museo,ck_servizio_di_audioguide,ck_proiezione_audiovisivi,ck_sussidi_inform_multimediali,ck_servizio_di_visite_guidate,ck_servizi_speciali_disabili,RA_NOTE_7_9_3,RICONOSCIMENTO_STATO
550,SI,TOTALMENTE,402,MUSEO VALTELLINESE DI STORIA E ARTE,TERRITORIALE,MUSEO VALTELLINESE DI STORIA E ARTE,SONDRIO,SONDRIO,,23100,"Via Maurizio Quadrio, 27",0342 526269 - 0342 526270,0342 526270,museo@comune.sondrio.it,www.comune.sondrio.it,APERTA,,,"Visita alle collezioni
Estivo
da martedi a domenica ore 10.00-12.00 / 15.00-18.00
Invernale (periodo scolastico)
da martedi a venerdi ore 9.00-12.00 / 15.00-17.00
sabato e domenica 10.00-12.00 / 14.00-17.00

Possibilità di aperture extraorarie e festive su prenotazione

Uffici
da lunedi a venerdi ore 9.00-12.30 / 14.30-17.30",,A PAGAMENTO,,SI,SI,SI,,SI,SI,SI,SI,"Il laboratorio di restauro entra nel percorso di visita con gruppi selazionati e scolastici.
Attua una consulenza per problemi relativi al restauro per parrocchie , enti e privati.",SI,SI,SI,,,,,SI,SI,,,,SI,SI,SI,SI,,SI,SI,SI,SI,,,RICONOSCIUTO
1,SI,NON ACCESSIBILE,1,MUSEO DEI TASSO E DELLA STORIA POSTALE,STORIA,MUSEO DEL TASSO,CAMERATA CORNELLO,BERGAMO,,24010,Via Cornello 21,034543479,034543479,info@museodeitasso.com,www.museodeitasso.com,APERTA,,,Dalle 10.00 alle 12.00 e dalle 14.00 alle 17.00,,A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,SI,sala per mostre temporanee,,,SI,SI,,,,,,,,,SI,,SI,,,,SI,,SI,,In corso di studio un sistema di audioguida.,RICONOSCIUTO
2202,SI,TOTALMENTE,2161,MUSEO E TESORO DEL DUOMO DI MONZA,COMPOSITO,MUSEO E TESORO DEL DUOMO DI MONZA,MONZA,MONZA E DELLA BRIANZA,,20052,"Via Canonica, 4",039 326383,039 2300349,info@museoduomomonza.it,,APERTA,,,Dal Martedì alla Domenica dalle ore 09.00 alle ore 12.00 e dalle 13.00 alle 18.00,,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,,SI,,SI,SI,,,,,,,,Per quanto riguarda le riproduzioni fotografiche e i restauri ci si avvale di collaboratori specializzati esterni che operano in loco,SI,SI,SI,SI,,,,,SI,SI,"sono allo studio percorsi per non vedenti,  sussidi multimediali e servizi di audioguide",RICONOSCIUTO
2205,SI,TOTALMENTE,2164,MUSEO DELLA FONDAZIONE ARNALDO POMODORO,ARTE,MUSEO DELLA FONDAZIONE ARNALDO POMODORO - CASA DELLA SCULTURA,MILANO,MILANO,,20144,Via Andrea Solari 35,02 89075394/95,02 89075261,c.montebello@fondazionearnaldopomodoro.it,www.fondazionearnaldopomodoro.it,APERTA,,,Da mercoledì a domenica dalle 11 alle 18; giovedì dalle 11 alle 22. Chiusura lunedì e martedì.,I periodi di chiusura per allestimento sono comunicati con anticipo.,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,"La sede è dotata di vasti spazi adatti anche per eventi performativi complessi; sono state stati ad esempio realizzati concerti musicali, opere teatrali e opere di artisti visivi con componente performativa.",SI,SI,SI,SI,,,E' in fase di studio avanzato l'installazione di uno spazio relax con caffetteria e area consultazione cataloghi/dvd.,,,,,,SI,SI,SI,SI,,SI,SI,,SI,SI,,RICONOSCIUTO
544,SI,PARZIALMENTE,362,MUSEO INTERNAZIONALE DELLA CROCE ROSSA,SPECIALIZZATO,MUSEO INTERNAZIONALE DELLA CROCE ROSSA,CASTIGLIONE DELLE STIVIERE,MANTOVA,,46043,"Via Garibaldi, 50",0376 638505,0376 631107,info@micr.it,www.micr.it,APERTA,,"Orari Estivo dal Martedì alla domenica dalle 9 alle 12 e dalle 15 alle 18 
Invernale dalle 9 alle 12 e dalle 14 alle 17
Chiuso il Lunedì NON festivo 
Chiuso dal 25 dicembre al 1 gennaio","Orari di Apertura da Martedì a Domenica
da Aprile a Ottobre 9-12 e 15-18
da Novembre a Marzo 9-12 e 14-17

Chiuso ogni Lunedì non festivo
Chiuso dal 25 dicembre al 1 gennaio",,A PAGAMENTO,NOTTE DEI MUSEI - SETTIMANA DELLA CULTURA - FIACCOLATA,SI,SI,SI,SI,SI,SI,SI,SI,E' allo studio un riallestimento dell'esposizione permanente e saranno attivati progressivamente tutti gli spazi indicati con l'inserimento di supporti informatici.,SI,,SI,SI,,,,,,,,Esiste un locale utilizzabile da scolaresche come laboratorio,SI,SI,SI,SI,,,SI,,SI,SI,"Nel nuovo percorso museale saranno integrati supporti audiovisivi multilingue e un apposita sala è destinata ai sistemi informatici, nell'ambito del riallestimento museale dell'esposizione permanente (2009-2011)",RICONOSCIUTO
552,SI,TOTALMENTE,402,MUSEO VALTELLINESE DI STORIA E ARTE,TERRITORIALE,ESPOSIZIONE PERMANENTE,SONDRIO,SONDRIO,,23100,Via Dante,0342 526260,0342 526437,cdap@comune.sondrio.it,www.comune.sondrio.it,APERTA,,"In attesa di nuovo allestimento, apertura su richiesta telefonando al n. 0342 526260",apertura su prenotazione telefonando al n. 0342 526260,in attesa di nuovo allestimento,A PAGAMENTO,,SI,,,,,,,,"per l'attività scientifica relativa alla collezione mineralogica il CDAP si avvale dell'Istituto Valtellinese di Mineralogia dotato di propria sede, bilbioteca e laboratorio nello stesso edificio in area adiacente all'esposizione.",,,,,,,,,,,,,SI,SI,,,,,,,SI,,,RICONOSCIUTO
553,SI,TOTALMENTE,421,MUSEO DEL TESORO,ARTE,MUSEO DEL TESORO,CHIAVENNA,SONDRIO,,23022,"Piazza P. Bormetti, 3",0343 37152,0343 32117,,,APERTA,,"Il Museo del Tesoro è aperto da martedì a venerdì dalle 15 alle 18; il sabato dalle 10 alle 12 e dalle 15 alle 18; la domenica dalle 15 alle 18. Lunedì chiuso.(orario estivo).
Il Museo del Tesoro è aperto da martedì a venerdì dalle 14 alle 16; il sabato dalle 10 alle 12 e dalle 14 alle 16; la domenica dalle 14 alle 17. Lunedì chiuso.(orario invernale).","Da martedì a domenica dalle 15 alle 18 ? il sabato anche dalle  10 alle 12 (orario estivo) 
Da martedì a sabato dalle 14 alle 16 ? il sabato anche dalle  10 alle 12 Domenica dalle 14 alle 17 (orario invernale) 
Chiuso il lunedì",,A PAGAMENTO,GIORNATA DEL FAI,SI,SI,,SI,SI,,,,Su prenotazione,SI,,,,,,,,,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
566,SI,PARZIALMENTE,444,"MUSEO ETNOGRAFICO DEL FERRO, DELLE ARTI E DELLE TRADIZIONI POPOLARI",ETNOGRAFIA E ANTROPOLOGIA,"MUSEO ETNOGRAFICO DEL FERRO, DELLE ARTI E TRADIZIONI POPOLARI",BIENNO,BRESCIA,,25040,"Via Artigiani, 13",0364 306008,0364 406610,info@comune.bienno.bs.it,www.comune.bienno.bs.it,APERTA,,,Da Martedì a Domenica dalle 09.00 alle 12.00 e dalle 14.30 alle 17.30 anche su richiesta.,,A PAGAMENTO,SOLO IN OCCASIONE DI EVENTI PARTICOLARI,SI,SI,SI,SI,SI,,SI,SI,,,,SI,SI,,,,,,,,Laboratori specifici per la tipologia del museo.,SI,SI,SI,,,,SI,SI,SI,SI,,RICONOSCIUTO
2727,SI,TOTALMENTE,2557,MUSEO LOUIS BRAILLE,SPECIALIZZATO,SEDE VIA VIVAIO 7 MILANO,MILANO,MILANO,,20122,via Vivaio 7,0277226228,0277226214,info@istciechimilano.it,www.istciechimilano.it,APERTA,,,"Mercoledì dalle 13,00 alle 18,00
Giovedì dalle 9,00 alle 14,00

Aperture ulteriori: un sabato al mese dalle 9,00 alle 14,00.
Aperture straordinarie: un sabato al mese dalle 19,00 alle 23,00 oppure una domenica dalle 9,00 alle 13,00.","La prenotazione, sia per i singoli visitatori sia per i gruppi, è sempre obbligatoria.",A PAGAMENTO,,SI,SI,SI,,SI,SI,SI,SI,,SI,,SI,SI,SI,,,,,,,tutta l'attività laboratoriale è in via di definizione,SI,,,,,,,,,,in via di definizione,RICONOSCIUTO
2723,SI,TOTALMENTE,1181,MUSEO PONCHIELLIANO,SPECIALIZZATO,MUSEO PONCHIELLIANO,PADERNO PONCHIELLI,CREMONA,,26024,VIA AMILCARE PONCHIELLI 15-17-19-21,0374 67467-367200,0374 3672147,museo.ponchielli@e-cremona.it,www.museoponchielli.e-cremona.it,APERTA,,,"Martedi-Mercoledi-Giovedi-Venerdi 14,00-18,30
Sabato e Domenica 8,00-12,00 - 14,00-18,30
Giorno di chiusura: Lunedi",,GRATUITO,,SI,,SI,SI,SI,SI,SI,,Sala conferenze e sala proiezioni video e ascolto audio sono un'unica sala,,,SI,,,,,,SI,SI,,Laboratorio di restauro e di preparazione sono un unico locale,SI,,,SI,,,SI,SI,SI,,"Esiste un depliant generale del Museo.
E' consultabile una edizione del depliant in Braille per non vedenti.",RICONOSCIUTO
